case_variant,evaluation_side,case_comparisons,unique_cases,mean_maximum_probability_difference,maximum_probability_difference,mean_l1_probability_difference
V03,OPPONENT,138,23,0.07800000000000001,0.166,0.15805797101449276
V03,PLAYER,138,23,0.07727536231884059,0.168,0.15678260869565216
V02,OPPONENT,138,23,0.07562318840579711,0.162,0.15298550724637683
V02,PLAYER,138,23,0.07385507246376813,0.162,0.14994202898550726
V04,PLAYER,138,23,0.041971014492753644,0.11599999999999999,0.08794202898550725
V01,PLAYER,138,23,0.039971014492753636,0.11199999999999999,0.08394202898550726
V01,OPPONENT,138,23,0.03924637681159422,0.10999999999999999,0.08243478260869566
V04,OPPONENT,138,23,0.03885507246376813,0.10999999999999999,0.08191304347826087
