strategy,feature_type,feature_count,total_importance,mean_importance,maximum_importance,importance_percent
R0_CURRENT_BASELINE,categorical,33,0.40961501741647127,0.012412576285347615,0.05449979700429139,40.961501741647126
R0_CURRENT_BASELINE,numeric,31,0.5903849825835287,0.019044676857533183,0.04722155429519175,59.03849825835287
R1_REMOVE_LEGAL_SIGNATURE,categorical,27,0.24591615640497416,0.00910800579277682,0.04067664560450881,24.591615640497416
R1_REMOVE_LEGAL_SIGNATURE,numeric,31,0.7540838435950259,0.0243252852772589,0.0568146100385615,75.40838435950259
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,categorical,27,0.34109936125465,0.012633309676098149,0.059044212977075204,34.109936125465
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,numeric,25,0.65890063874535,0.026356025549813998,0.0621080808950603,65.890063874535
R3_STATE_CENTRIC_POLICY,categorical,27,0.49988530904301925,0.01851427070529701,0.08631854025492286,49.988530904301925
R3_STATE_CENTRIC_POLICY,numeric,19,0.5001146909569808,0.026321825839841096,0.05700591226629761,50.01146909569808
