strategy_a,strategy_b,summed_mean_signed_shift,absolute_residual
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,2.7755575615628914e-17,2.7755575615628914e-17
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,6.938893903907228e-18,6.938893903907228e-18
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,1.3877787807814457e-17,1.3877787807814457e-17
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,-1.0408340855860843e-17,1.0408340855860843e-17
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,-6.938893903907228e-18,6.938893903907228e-18
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,6.938893903907228e-18,6.938893903907228e-18
