action,strategy_pair_rows,mean_signed_probability_shift,median_signed_probability_shift,minimum_signed_probability_shift,maximum_signed_probability_shift,total_positive_cases,total_negative_cases,total_unchanged_cases,net_case_direction,absolute_mean_signed_shift,dominant_direction,redistribution_rank
Quick Attack,6,-0.04752717391304348,-0.05499999999999999,-0.15000000000000002,0.04800000000000004,123,963,18,-840,0.04752717391304348,LOST_PROBABILITY,1
Ascension,6,0.047103260869565226,0.047999999999999994,-0.05199999999999999,0.168,963,129,12,834,0.047103260869565226,GAINED_PROBABILITY,2
Live Coal,6,0.0020362318840579713,0.002,-0.002,0.012,506,6,592,500,0.0020362318840579713,GAINED_PROBABILITY,3
Bind Down,6,-0.0016956521739130432,-0.003,-0.006,0.0,0,312,792,-312,0.0016956521739130432,LOST_PROBABILITY,4
Pass,6,0.0005543478260869565,0.002,-0.02,0.04,488,408,208,80,0.0005543478260869565,GAINED_PROBABILITY,5
Tuck Tail,6,-0.0004710144927536232,0.0,-0.004,0.004,104,325,675,-221,0.0004710144927536232,LOST_PROBABILITY,6
